gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Churn,Young,RevenuePerUser,TotalRevenue,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,InternetService_DSL,InternetService_Fiber optic,InternetService_No,ChurnProbabilities
0,0,1,1,23,1,0,0,0,0,1,0,1,0,0,63.0,1449.0,1,0,0,0,0,1,0,1,0,0,0.7918349067629218
0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,23.2,69.6,1,0,0,0,0,0,1,0,0,1,0.3965919936148444
0,0,1,1,4,1,0,0,0,0,0,0,0,1,0,23.2,92.8,1,0,0,0,0,0,1,0,0,1,0.3506093694120384
0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,46.7,46.7,1,0,0,1,0,0,0,0,1,0,0.6054660972020005
0,0,1,1,55,1,0,1,1,1,1,1,1,0,0,87.0,4785.0,0,1,0,1,0,0,0,1,0,0,0.3660660030518364
1,0,1,1,54,1,0,0,0,0,0,0,0,0,0,23.2,1252.8,0,0,1,0,1,0,0,0,0,1,0.006076379069508424
1,0,0,0,26,1,0,0,0,0,0,0,1,0,1,20.0,520.0,0,1,0,1,0,0,0,0,0,1,0.10634128081774287
0,0,1,1,69,1,0,0,0,0,0,0,0,0,0,23.2,1600.8,0,0,1,1,0,0,0,0,0,1,0.0027243773157159864
1,0,1,1,37,1,0,0,0,0,1,1,0,0,0,76.2,2819.4,0,1,0,0,1,0,0,1,0,0,0.45009923193552503
0,0,1,0,49,1,0,0,0,0,0,0,0,0,0,23.2,1136.8,0,1,0,1,0,0,0,0,0,1,0.021850420250974004
1,0,1,0,66,1,1,1,1,1,1,1,0,0,0,93.7,6184.2,0,1,0,1,0,0,0,1,0,0,0.23832787022706167
0,0,0,0,67,1,0,0,0,0,0,0,0,0,1,23.2,1554.3999999999999,0,1,0,0,0,1,0,0,0,1,0.010713446977340618
1,0,1,1,20,0,1,0,1,1,0,0,1,0,0,52.0,1040.0,0,0,1,0,1,0,0,0,1,0,0.11024544636619177
0,0,0,1,43,1,0,0,0,0,0,0,1,0,0,20.0,860.0,0,0,1,0,0,1,0,0,0,1,0.02290260218111532
0,0,1,0,55,1,1,0,0,0,1,0,1,0,0,66.5,3657.5,1,0,0,1,0,0,0,1,0,0,0.43883466746206024
0,0,1,0,59,1,1,1,0,0,1,0,1,0,0,72.0,4248.0,1,0,0,0,0,1,0,1,0,0,0.48406755203002555
0,0,1,1,12,1,0,0,0,0,0,0,0,0,0,23.2,278.4,0,0,1,1,0,0,0,0,0,1,0.0732261314946873
1,0,1,1,27,1,0,0,0,0,0,0,1,0,0,55.0,1485.0,1,0,0,1,0,0,0,1,0,0,0.6370120296598596
1,1,0,0,2,1,1,0,0,0,0,0,1,1,0,58.5,117.0,1,0,0,0,0,1,0,0,1,0,0.7103744711292914
0,0,0,0,27,1,0,1,1,1,1,1,0,0,0,90.2,2435.4,0,1,0,0,0,0,1,0,1,0,0.23127102839162042
1,0,1,1,25,1,0,0,0,0,0,0,0,0,0,23.2,580.0,0,0,1,0,1,0,0,0,0,1,0.032754180293088624
1,0,1,1,25,1,1,1,1,0,0,0,1,0,0,67.5,1687.5,0,1,0,1,0,0,0,0,1,0,0.1774045764149361
1,0,0,1,29,0,1,1,1,1,0,0,1,0,0,57.5,1667.5,1,0,0,0,0,0,1,0,1,0,0.2596026336611794
1,0,1,0,72,1,0,1,1,1,1,1,1,0,0,87.0,6264.0,0,0,1,1,0,0,0,0,1,0,0.07803302718309281
0,0,0,0,14,1,0,1,0,0,0,0,0,0,0,63.7,891.8000000000001,0,1,0,0,1,0,0,0,1,0,0.27058387578296583
0,0,0,0,35,1,0,0,1,1,1,1,1,0,0,81.5,2852.5,0,1,0,0,0,1,0,1,0,0,0.5918388630593452
1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,55.0,55.0,1,0,0,0,0,0,1,0,1,0,0.6713968522233247
1,0,0,0,29,1,0,0,0,1,1,1,1,0,0,78.0,2262.0,1,0,0,0,0,1,0,1,0,0,0.7770558666288578
1,0,0,0,64,1,1,1,1,1,1,0,0,0,0,83.7,5356.8,0,1,0,0,0,1,0,0,1,0,0.09610643818521293
0,0,1,1,39,1,0,0,0,1,1,1,1,0,0,78.0,3042.0,1,0,0,0,1,0,0,1,0,0,0.6246496334713697
0,1,0,0,40,1,0,0,0,0,1,1,1,0,0,73.0,2920.0,1,0,0,0,0,1,0,1,0,0,0.8192027019206007
1,0,0,0,40,1,0,1,1,0,1,1,1,1,0,82.0,3280.0,1,0,0,0,1,0,0,1,0,0,0.6890263905916874
0,1,0,0,11,1,0,1,0,0,1,1,1,1,0,78.5,863.5,1,0,0,0,0,1,0,1,0,0,0.8935307362558916
0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,58.2,349.20000000000005,1,0,0,0,0,1,0,0,1,0,0.6401701605799027
1,0,0,0,30,1,1,0,0,0,0,1,1,0,0,71.5,2145.0,1,0,0,0,0,0,1,0,1,0,0.393474289417497
1,0,0,0,27,1,0,0,0,0,0,0,1,0,0,20.0,540.0,1,0,0,0,0,1,0,0,0,1,0.24243236338117757
1,1,0,0,70,1,0,1,1,0,1,1,1,0,0,82.0,5740.0,0,1,0,0,0,1,0,1,0,0,0.5057988955141716
0,0,1,0,57,1,0,1,1,1,1,1,1,0,0,87.0,4959.0,0,1,0,1,0,0,0,1,0,0,0.38545782944284324
1,0,1,0,58,1,0,0,1,0,0,0,0,0,0,61.7,3578.6000000000004,0,1,0,0,1,0,0,0,1,0,0.08028445850003642
1,0,0,0,16,1,0,1,1,0,0,1,1,0,0,77.0,1232.0,1,0,0,1,0,0,0,0,1,0,0.5542284347494738
0,0,1,0,69,1,1,1,1,1,1,1,1,0,0,90.5,6244.5,0,0,1,0,0,1,0,1,0,0,0.1918048342240107
1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,40.0,40.0,1,0,0,0,0,1,0,0,1,0,0.8394685404351871
1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,76.5,76.5,1,0,0,0,0,1,0,1,0,0,0.8928643353726229
1,1,0,0,32,1,0,1,0,0,1,1,1,0,0,78.5,2512.0,1,0,0,0,0,0,1,1,0,0,0.768364655160984
1,0,1,1,16,1,0,0,1,0,1,0,1,0,0,66.5,1064.0,1,0,0,1,0,0,0,1,0,0,0.7642714395848775
1,0,1,0,49,1,1,0,1,1,1,1,0,1,0,88.2,4321.8,0,1,0,0,0,1,0,0,1,0,0.1891292887090602
0,0,1,0,71,0,0,1,1,1,1,1,0,0,0,82.2,5836.2,0,0,1,1,0,0,0,0,1,0,0.07047626679946759
0,0,0,0,33,1,0,1,1,0,1,1,0,0,0,85.2,2811.6,1,0,0,0,0,1,0,1,0,0,0.7401664719460971
0,0,1,0,10,1,0,0,0,0,0,0,1,0,0,20.0,200.0,1,0,0,1,0,0,0,0,0,1,0.3973423150974227
1,0,1,0,21,1,0,1,1,1,1,1,1,1,0,87.0,1827.0,1,0,0,0,0,1,0,1,0,0,0.7753898229892221
1,0,1,1,37,0,1,1,1,0,0,0,0,1,0,55.7,2060.9,1,0,0,1,0,0,0,0,1,0,0.2178458592538653
0,1,0,0,26,1,1,0,0,0,1,0,1,0,0,66.5,1729.0,1,0,0,0,1,0,0,1,0,0,0.701270297729295
1,0,0,0,50,0,1,0,0,1,0,0,1,0,0,48.5,2425.0,0,1,0,0,0,0,1,0,1,0,0.08164213761474183
0,0,0,0,7,1,0,0,0,0,0,0,1,1,0,55.0,385.0,1,0,0,0,0,1,0,1,0,0,0.8595332189525476
0,0,1,1,61,1,1,1,1,1,1,1,0,0,0,93.7,5715.7,0,0,1,0,0,0,1,0,1,0,0.0481677193741431
1,0,0,0,15,1,0,0,1,1,1,1,1,1,0,81.5,1222.5,1,0,0,0,0,1,0,1,0,0,0.8218583605686788
0,0,0,1,26,0,1,0,0,1,0,1,0,0,0,66.7,1734.2,1,0,0,0,0,0,1,0,1,0,0.3176469655795439
1,0,1,0,72,1,0,0,1,0,1,1,1,0,0,76.5,5508.0,1,0,0,0,0,1,0,1,0,0,0.6073104623385237
1,0,1,1,44,1,0,0,0,0,0,0,1,0,0,20.0,880.0,0,1,0,1,0,0,0,0,0,1,0.033395799881988715
1,0,0,0,66,1,0,1,0,0,0,1,0,0,0,76.7,5062.2,1,0,0,0,1,0,0,1,0,0,0.3840224111942319
0,0,0,0,2,1,1,1,0,1,0,0,1,1,0,69.0,138.0,1,0,0,0,0,1,0,1,0,0,0.72672593268598
0,1,0,0,44,1,0,0,1,1,1,1,0,0,0,84.7,3726.8,0,1,0,1,0,0,0,0,1,0,0.24984076742248235
0,0,0,0,12,1,0,1,0,0,1,0,1,1,0,68.5,822.0,1,0,0,1,0,0,0,1,0,0,0.7930827789181281
1,1,0,0,69,1,0,1,1,1,1,1,1,0,0,87.0,6003.0,0,0,1,0,0,1,0,1,0,0,0.28034322137052065
0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,60.5,60.5,1,0,0,0,0,0,1,1,0,0,0.8058734237692956
0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,23.2,69.6,1,0,0,0,0,0,1,0,0,1,0.3965919936148444
0,0,1,0,2,1,1,1,0,0,1,0,0,0,0,75.2,150.4,1,0,0,0,0,1,0,1,0,0,0.7636122799625348
0,1,0,0,27,1,0,1,1,0,0,0,1,0,0,64.0,1728.0,1,0,0,1,0,0,0,1,0,0,0.6876477831389366
1,0,0,0,26,1,0,0,0,0,0,0,1,0,1,20.0,520.0,1,0,0,0,0,1,0,0,0,1,0.2547594643881833
0,1,0,0,39,1,0,0,0,1,1,1,1,0,0,78.0,3042.0,1,0,0,0,0,1,0,1,0,0,0.7784284496835665
1,0,0,0,25,1,0,0,0,0,1,1,1,1,0,73.0,1825.0,1,0,0,1,0,0,0,1,0,0,0.7943440951977362
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,58.2,58.2,1,0,0,0,0,0,1,1,0,0,0.7810039182570456
1,0,1,0,22,1,1,0,0,1,0,0,1,1,0,63.5,1397.0,1,0,0,0,0,1,0,0,1,0,0.3973176654119848
0,0,0,0,72,1,1,1,1,1,1,1,1,0,0,90.5,6516.0,0,0,1,0,0,1,0,1,0,0,0.1862591110563955
0,0,0,0,24,1,0,0,0,0,0,0,1,0,1,20.0,480.0,0,0,1,1,0,0,0,0,0,1,0.057915101159290897
0,0,1,0,19,1,0,0,0,0,1,0,1,0,0,63.0,1197.0,1,0,0,0,0,1,0,1,0,0,0.83075790430393
1,0,1,1,71,1,0,0,0,0,0,0,0,0,0,23.2,1647.2,0,0,1,0,1,0,0,0,0,1,0.0022362023065232205
1,1,0,0,33,1,1,0,1,1,1,1,1,0,0,85.0,2805.0,1,0,0,1,0,0,0,1,0,0,0.6670744678041326
0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,23.2,69.6,1,0,0,0,0,0,1,0,0,1,0.3965919936148444
1,0,1,1,47,1,0,1,0,0,1,0,0,0,0,71.7,3369.9,1,0,0,0,0,1,0,1,0,0,0.5447632159328759
1,0,1,1,62,1,1,1,1,1,1,1,0,0,0,93.7,5809.400000000001,0,0,1,0,0,0,1,1,0,0,0.10799718619462115
1,0,0,0,71,1,1,1,1,1,1,1,1,0,0,90.5,6425.5,0,1,0,1,0,0,0,1,0,0,0.2696810039286315
1,1,0,0,7,1,0,0,0,0,1,1,1,0,0,73.0,511.0,1,0,0,0,0,1,0,1,0,0,0.9167033745502599
0,0,1,1,27,1,1,0,0,0,0,0,0,0,0,61.7,1665.9,1,0,0,0,0,0,1,1,0,0,0.4549200296687175
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,23.2,46.4,1,0,0,0,0,0,1,0,0,1,0.4051659941040902
0,0,0,1,25,0,1,0,0,1,0,0,0,0,0,51.7,1292.5,0,0,1,1,0,0,0,0,1,0,0.07729337009802185
1,1,0,0,30,1,1,1,0,0,1,1,1,0,0,82.0,2460.0,1,0,0,0,0,1,0,0,1,0,0.5970880530075552
0,1,0,0,58,1,1,1,0,1,1,1,1,1,0,87.0,5046.0,0,1,0,0,1,0,0,1,0,0,0.3474176591993584
1,0,1,0,10,1,0,0,0,0,0,1,1,1,0,68.0,680.0,1,0,0,0,0,1,0,1,0,0,0.8622113175579915
0,0,0,0,9,1,0,0,0,0,0,0,1,0,0,55.0,495.0,1,0,0,0,1,0,0,1,0,0,0.7943797602255568
0,1,0,0,6,1,0,0,0,0,0,1,1,1,0,68.0,408.0,1,0,0,0,0,1,0,1,0,0,0.9020181083278052
0,0,1,1,69,1,1,0,1,0,0,0,0,0,0,65.2,4498.8,0,1,0,1,0,0,0,1,0,0,0.09771495448526026
0,1,0,0,66,1,1,0,0,0,1,1,1,0,0,76.5,5049.0,0,0,1,1,0,0,0,1,0,0,0.20844342718532616
0,0,0,0,70,1,1,1,1,1,1,1,0,1,0,93.7,6559.0,0,1,0,0,1,0,0,1,0,0,0.22280278375353818
1,0,0,0,25,1,0,0,0,0,0,0,0,1,1,23.2,580.0,0,1,0,1,0,0,0,0,0,1,0.08429907251545518
0,0,1,1,46,1,0,0,0,0,0,0,1,0,0,20.0,920.0,0,0,1,0,0,0,1,0,0,1,0.012666495945957305
0,0,1,0,54,1,1,1,1,1,1,1,1,0,0,90.5,4887.0,0,1,0,0,0,0,1,1,0,0,0.31028802257768323
0,0,0,0,15,1,1,0,1,1,1,1,0,1,0,88.2,1323.0,1,0,0,0,0,1,0,1,0,0,0.6944029923635019
0,0,1,1,12,1,0,0,0,0,0,0,0,0,0,23.2,278.4,1,0,0,1,0,0,0,0,0,1,0.26843443557582736
0,0,0,0,22,0,0,1,0,0,1,1,1,0,0,70.5,1551.0,1,0,0,0,0,1,0,0,1,0,0.7412253061002297
0,0,1,0,70,0,0,1,1,1,1,1,0,0,0,82.2,5754.0,0,0,1,1,0,0,0,0,1,0,0.07190543596922377
1,0,0,0,30,1,1,1,1,0,0,0,1,0,0,67.5,2025.0,1,0,0,0,1,0,0,1,0,0,0.5055377333596658
1,0,1,1,71,1,0,1,0,0,1,1,0,0,0,81.7,5800.7,0,1,0,1,0,0,0,1,0,0,0.2742043364695645
1,0,1,0,30,1,0,0,0,0,0,0,0,0,0,23.2,696.0,0,1,0,0,1,0,0,0,0,1,0.059536002040574604
1,0,1,1,4,1,0,1,1,0,0,0,1,1,0,64.0,256.0,1,0,0,1,0,0,0,1,0,0,0.7628389161631706
1,0,0,0,2,1,0,0,1,0,0,1,1,1,0,71.5,143.0,1,0,0,0,0,1,0,1,0,0,0.8811392467126581
1,0,0,1,10,1,0,0,0,0,0,0,1,0,0,20.0,200.0,0,1,0,1,0,0,0,0,0,1,0.21814369718365798
1,1,0,0,4,1,1,0,0,0,0,0,0,0,0,61.7,246.8,1,0,0,0,0,1,0,1,0,0,0.7971598736258575
1,1,0,0,52,0,1,0,0,0,1,1,1,0,0,68.5,3562.0,1,0,0,0,1,0,0,0,1,0,0.4361736251766861
1,0,0,0,5,1,0,0,0,0,0,0,0,1,0,58.2,291.0,1,0,0,0,0,1,0,0,1,0,0.6473540404860914
1,0,1,1,8,1,0,0,0,0,0,0,0,0,0,23.2,185.6,0,0,1,0,0,0,1,0,0,1,0.08268317543965793
0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,55.0,110.0,1,0,0,0,0,1,0,0,1,0,0.7913412091343887
1,0,0,0,3,1,0,1,0,0,0,1,0,0,0,76.7,230.10000000000002,1,0,0,0,0,1,0,1,0,0,0.8162429903221474
1,0,0,0,19,1,0,0,1,1,0,0,0,0,0,66.7,1267.3,1,0,0,0,0,1,0,0,1,0,0.42454431486691413
1,0,0,0,72,1,1,1,1,1,0,0,0,0,0,75.7,5450.400000000001,0,0,1,1,0,0,0,0,1,0,0.017025744192455127
1,1,0,0,63,0,1,0,0,1,0,0,0,0,0,51.7,3257.1000000000004,0,1,0,1,0,0,0,0,1,0,0.05208959535617621
1,0,1,0,66,0,1,1,1,1,1,0,1,0,0,67.5,4455.0,0,0,1,1,0,0,0,0,1,0,0.03851015711611385
1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,60.0,60.0,1,0,0,0,0,1,0,1,0,0,0.8353261361567446
0,0,0,0,60,1,0,0,1,0,0,0,1,0,0,58.5,3510.0,0,1,0,1,0,0,0,1,0,0,0.22041939891917808
0,0,1,1,48,0,1,0,1,0,0,1,0,0,0,65.2,3129.6000000000004,0,1,0,0,1,0,0,0,1,0,0.1287240644849191
0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,66.5,66.5,1,0,0,0,1,0,0,1,0,0,0.8506078099859299
1,0,0,0,15,1,0,0,0,0,1,1,1,1,0,73.0,1095.0,1,0,0,0,0,1,0,1,0,0,0.8750591049163707
0,0,1,0,50,1,1,1,0,1,1,1,1,0,0,87.0,4350.0,1,0,0,1,0,0,0,1,0,0,0.5172642918674851
1,0,1,1,72,1,1,1,1,1,1,1,0,0,0,93.7,6746.400000000001,0,0,1,0,1,0,0,0,1,0,0.04168143313788875
0,0,0,0,46,1,1,1,0,0,0,0,0,0,0,67.2,3091.2000000000003,1,0,0,0,0,0,1,1,0,0,0.31791928206122916
0,0,1,1,72,1,1,1,1,1,1,1,0,0,0,93.7,6746.400000000001,0,0,1,1,0,0,0,0,1,0,0.04499215497585139
1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,23.2,23.2,1,0,0,0,0,0,1,0,0,1,0.38754120417445004
0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,55.0,55.0,1,0,0,0,0,1,0,0,1,0,0.757598047248704
0,1,0,0,67,1,1,1,0,1,1,0,1,0,0,77.0,5159.0,0,0,1,1,0,0,0,1,0,0,0.10982560105689293
0,0,1,1,48,1,0,1,0,1,1,1,0,0,0,86.7,4161.6,0,0,1,0,0,1,0,0,1,0,0.11014557887335114
0,0,0,0,72,1,1,1,1,1,1,1,1,0,0,90.5,6516.0,0,0,1,0,0,1,0,1,0,0,0.1862591110563955
1,0,1,0,52,1,1,1,1,1,0,1,1,0,0,85.5,4446.0,0,1,0,0,1,0,0,0,1,0,0.11555619679580027
0,0,1,1,67,1,0,1,0,0,0,0,0,0,0,63.7,4267.900000000001,0,1,0,0,1,0,0,0,1,0,0.052565027869769965
0,0,1,1,28,1,0,0,0,0,0,1,1,1,0,68.0,1904.0,1,0,0,0,0,1,0,1,0,0,0.7651614267390279
0,0,1,1,32,1,0,1,1,0,0,0,0,0,0,67.2,2150.4,1,0,0,1,0,0,0,0,1,0,0.27884144460098725
0,1,0,0,27,1,1,0,0,0,0,0,1,1,0,58.5,1579.5,1,0,0,1,0,0,0,1,0,0,0.6419611437764214
1,0,0,0,3,1,0,1,1,0,0,1,0,0,0,80.2,240.60000000000002,1,0,0,0,0,1,0,1,0,0,0.8029715325431092
1,0,0,0,2,1,0,0,0,0,1,0,1,1,0,63.0,126.0,1,0,0,0,0,1,0,1,0,0,0.8965930596407607
0,0,0,1,9,1,0,0,1,1,1,1,1,1,0,81.5,733.5,1,0,0,0,0,0,1,0,1,0,0.5617316539944776
1,0,1,1,50,1,1,0,0,1,1,0,1,0,0,71.5,3575.0,0,0,1,0,1,0,0,0,1,0,0.04855091126711747
0,0,1,1,71,1,0,0,0,0,0,0,0,0,0,23.2,1647.2,0,0,1,1,0,0,0,0,0,1,0.002421739583638857
1,1,0,0,32,1,0,0,0,0,0,0,1,1,0,55.0,1760.0,1,0,0,0,0,1,0,1,0,0,0.7415028814113842
0,0,1,1,16,1,1,0,1,0,1,1,0,0,0,83.2,1331.2,1,0,0,1,0,0,0,1,0,0,0.669166699474816
0,0,1,1,67,1,0,0,1,1,1,1,1,0,0,81.5,5460.5,0,0,1,1,0,0,0,1,0,0,0.16958108232878058
1,0,1,1,72,1,1,1,1,1,1,1,1,0,0,90.5,6516.0,0,0,1,0,1,0,0,1,0,0,0.1183915193903468
0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,23.2,69.6,1,0,0,0,0,1,0,0,0,1,0.49674427816452515
1,0,1,1,23,1,0,0,0,0,0,0,0,0,0,23.2,533.6,0,1,0,0,0,0,1,0,0,1,0.07649720018609044
1,0,1,1,72,1,1,1,1,1,0,0,0,0,0,75.7,5450.400000000001,0,0,1,1,0,0,0,0,1,0,0.014941493193552634
1,0,1,1,7,0,1,1,1,0,1,1,0,0,0,80.7,564.9,1,0,0,0,0,0,1,0,1,0,0.523054052120666
1,0,1,1,8,1,0,0,0,0,1,0,1,0,0,63.0,504.0,1,0,0,0,0,1,0,0,1,0,0.7149292883696394
1,0,1,1,66,0,0,0,0,1,1,1,0,0,0,73.2,4831.2,0,0,1,1,0,0,0,0,1,0,0.06443945657074007
1,0,0,0,5,1,0,0,0,0,0,0,0,1,1,23.2,116.0,1,0,0,0,0,0,1,0,0,1,0.3644442300237984
1,0,0,0,49,1,0,1,1,0,1,1,1,1,0,82.0,4018.0,1,0,0,1,0,0,0,1,0,0,0.659576716274645
1,0,1,0,63,1,0,0,0,0,0,0,1,0,0,20.0,1260.0,0,0,1,1,0,0,0,0,0,1,0.00545053010758026
0,1,0,0,12,0,0,0,0,1,0,0,1,0,0,45.0,540.0,1,0,0,0,0,0,1,0,1,0,0.644233052987375
1,0,1,1,27,1,1,1,0,0,0,0,1,0,0,64.0,1728.0,1,0,0,0,1,0,0,0,1,0,0.29112561934636555
0,0,0,0,35,1,1,1,1,0,0,0,0,0,0,70.7,2474.5,1,0,0,0,0,1,0,0,1,0,0.28202479766344796
0,0,1,1,54,1,0,1,1,1,1,1,1,0,0,87.0,4698.0,1,0,0,0,0,1,0,0,1,0,0.40605008431572726
1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,73.0,73.0,1,0,0,0,0,1,0,1,0,0,0.9113904131048729
1,0,0,0,5,1,0,0,1,1,1,0,1,0,0,71.5,357.5,1,0,0,0,1,0,0,0,1,0,0.5744410777942374
1,0,0,0,19,1,0,1,0,1,0,1,1,0,0,78.5,1491.5,0,1,0,1,0,0,0,0,1,0,0.2918806645115938
1,0,1,1,52,0,0,1,1,1,1,0,0,0,0,67.2,3494.4,0,0,1,0,0,0,1,0,1,0,0.04989086260039643
0,0,1,1,72,0,1,1,1,1,1,1,1,0,0,82.5,5940.0,0,0,1,1,0,0,0,0,1,0,0.059491681166122586
1,0,0,0,32,1,0,0,0,0,0,0,1,0,1,20.0,640.0,0,0,1,1,0,0,0,0,0,1,0.03570992688838764
0,0,1,0,8,1,0,1,1,0,1,1,0,1,0,85.2,681.6,1,0,0,0,0,1,0,1,0,0,0.8215320952773969
1,0,0,0,41,1,0,0,1,0,0,1,0,0,0,74.7,3062.7000000000003,0,1,0,0,0,0,1,0,1,0,0.19218052466773472
1,0,0,0,5,1,0,0,0,0,0,0,1,0,1,20.0,100.0,1,0,0,0,0,0,1,0,0,1,0.4507018797233067
0,0,0,1,11,0,1,0,0,1,0,0,1,0,0,48.5,533.5,0,1,0,0,0,0,1,0,1,0,0.3004256549051302
1,0,0,0,5,1,0,0,0,1,1,1,1,1,0,78.0,390.0,1,0,0,0,0,1,0,1,0,0,0.8619119433479621
0,0,0,0,16,1,0,0,0,0,0,0,0,0,1,23.2,371.2,0,1,0,0,0,0,1,0,0,1,0.12767340703840016
1,1,0,0,71,1,0,1,0,1,1,1,0,0,0,86.7,6155.7,0,1,0,1,0,0,0,1,0,0,0.31243359858038855
0,0,0,0,11,0,0,1,1,1,0,0,1,0,0,54.0,594.0,0,1,0,0,1,0,0,0,1,0,0.3655190251570496
0,0,1,1,61,1,0,1,0,0,1,1,1,1,0,78.5,4788.5,1,0,0,0,0,1,0,1,0,0,0.6374334978912901
0,0,1,0,71,1,1,1,1,1,1,1,1,0,0,90.5,6425.5,0,1,0,1,0,0,0,0,1,0,0.13058741180557754
1,0,0,0,9,1,0,0,0,0,0,0,0,0,1,23.2,208.79999999999998,1,0,0,0,0,0,1,0,0,1,0.31168775085394734
0,0,0,0,6,1,1,0,0,0,0,0,1,0,0,58.5,351.0,1,0,0,0,0,1,0,0,1,0,0.63103890457811
0,0,0,0,26,1,0,0,0,0,1,1,1,1,0,73.0,1898.0,1,0,0,1,0,0,0,1,0,0,0.7928592593563873
